# RealFuels — UI strings extracted from RealFuels.dll: the tank-type/propellant configuration
# window (ModuleFuelTanks / RealFuelsWindow — tank type switcher, volume bar, wet/dry mass), the
# engine-config GUI with its reliability simulation charts (RFEngineConfigGUI — survival
# probability vs. burn time, failure-probability heatmap), and the Master-Status-Display-style
# column headers used by both.
#
# Method: `monodis --userstrings` for the raw string heap, then a full IL disassembly
# (`monodis --output`, KSP's Managed/ dir on MONO_PATH) to check what each candidate ldstr
# actually feeds:
#   - kept when passed directly to RealFuelsWindow.MassCell/SetTooltip, stored as its own
#     string[] array element (table/legend/tab-name arrays — e.g. the Failure Risk legend, the
#     Min%/Ignition%/Pres-Fed/0-DU/Max-DU column-header array, the R&D/Settings KSC-window tab
#     array), returned whole from a GetModuleTitle()-style override, or used as a PopupDialog
#     title.
#   - dropped when immediately combined via string::Concat/Format with a run-time value before
#     display (e.g. "  Gimbal " + Gimbal.Info() into a StringBuilder, "Requires: " + techName,
#     "Surv@" + FormatBurnTimeDisplay(...)) — confirmed by tracing the IL, since the text the UI
#     actually receives always differs from the bare literal.
# Also skipped: the #RF_* Localizer keys (RealFuels' own Localization/*.cfg owns those — this
# file only covers text hardcoded straight into IL), B9PartSwitch/TestFlightCore reflection
# type-name strings, *RFMEC*/[RF]/[MFS]/[MFT] Debug-log-only diagnostics and exceptions, ConfigNode
# parsing errors, ullage/gimbal ConfigNode key names, ModuleManager patch identifiers, and a
# module-name string compared with string::Equals (internal logic, never shown as text).

# --- Compatibility-checker popup (shared boilerplate, also fires from RealFuels' own copy) ---
Incompatible Mods Detected	Обнаружены несовместимые моды
# --- Fuel tank type/volume configuration window (ModuleFuelTanks / RealFuelsWindow) ---
Modular Fuel Tank	Модульный топливный бак
PROPELLANT CONFIGURATION	КОНФИГУРАЦИЯ ТОПЛИВА
WINDOW SETTINGS	НАСТРОЙКИ ОКНА
WINDOW WIDTH	ШИРИНА ОКНА
UI SCALE	МАСШТАБ ИНТЕРФЕЙСА
Scale affects font sizes and row heights.	Масштаб влияет на размер шрифта и высоту строк.
TANK VOLUME	ОБЪЁМ БАКА
WET MASS	МАССА С ТОПЛИВОМ
DRY MASS	СУХАЯ МАССА
REMOVE ALL	УДАЛИТЬ ВСЁ
0s	0с
Double the volume of all unlocked resources, capped at available space.	Удвоить объём всех разблокированных ресурсов, ограничено доступным пространством.
# NOTE: the runtime string below has two embedded *real* newline characters (SetTooltip
# argument built as "...capacity.\nLocked...\nReserve..."). A literal newline can't be
# represented as a dictionary key in this line-based TAB file (File.ReadAllLines would split
# it and corrupt the entry), so this can never actually match — kept only as a best-effort
# single-line fallback in case the same sentence is ever reused unprefixed elsewhere.
Fill all unlocked resources proportionally to capacity. Locked resources are untouched. Reserve space is respected.	Заполнить все разблокированные ресурсы пропорционально вместимости. Заблокированные ресурсы не затрагиваются. Резервное пространство учитывается.

# === RE-SWEEP (2026-07-23): strings now reachable via the expanded 31-hook framework ===

# --- Engine-config GUI column-visibility menu (EngineConfigGUI.DrawColumnMenu): each column
#     name is drawn with GUI.Label(Rect, string, GUIStyle) — the GUIStyle overload that only
#     became hooked in this re-sweep. The cramped header ROW (DrawHeaderCell) instead sets
#     GUIContent.set_text and calls GUI.Label(Rect, GUIContent, GUIStyle) (neither hooked), so
#     its abbreviations Gim/Igns/Ullg/PFed stay English; only the readable full names in this
#     menu are translatable. Name/Thrust/ISP/Mass/Gimbal/Cost/Actions are already translated
#     globally by other mods' files (flat dict, same meaning), Min%/Pres-Fed/Ign%/Max-DU are
#     above, and 0-DU is digit+unit only (would be a no-op) — so only these six are added. ---
Ignitions	Запуски
Ullage	Осадка
Rated	Ном.
Tested	Тест.
Survival	Выжив.
Tech	Тех.

# --- Engine-config GUI toolbar toggle buttons (EngineConfigGUI.EngineManagerGUI), each drawn
#     with GUILayout.Button(string, GUIStyle, GUILayoutOption[]) — the identical call already
#     proven working by the translated Show Sim / Show Chart pair above. View-mode, chart-type
#     and burn-time-format switches. ---
Compact	Компакт.
Full	Полный
Sec	Сек
m:ss	м:сс
Heatmap	Тепл.карта
Line	Линия

# --- Engine-config GUI action-column button (EngineConfigGUI.DrawActionCell): the label is
#     built through the hooked GUIContent(string) ctor, then shown via GUI.Button. Switch-to /
#     currently-active config, and the RP-1 credit-unlock states. ---
Switch	Сменить
Active	Активна
Owned	Куплено
Free	Бесплатно

# --- Fuel-tank window (RealFuels.Tanks.RealFuelsWindow) proportional-fill button, drawn with
#     GUI.Button(Rect, string, GUIStyle). RESET/CLOSE next to it are already translated globally
#     (KerbalEngineer: СБРОС / ЗАКРЫТЬ). ---
FILL	ЗАПОЛНИТЬ
