# _common-ui -- общий словарь МЕТОК PAW (меню правого клика по деталям, KSP stock + моды).
# Игрок видит эти кнопки/подписи постоянно, в каждом полёте. Это НЕ один мод, а сквозной
# набор player-facing действий (Open/Close/Deploy/Retract/Toggle/Collect/Run/Review/Take/Log...),
# отрисовываемых через IMGUI/UGUI/TMPro -- перехватываются Harmony-патчами tools/ui-translator.
# folder="*" (не привязан к одному моду), деплоится всегда.
#
# Формат: Английский<TAB>Русский. Строки с # -- комментарии. Несовпадение = строка идёт как есть
# (no-op). Ключ матчится ПОБАЙТНО (Ordinal), включая кавычки: "Power On"/"Power Off" -- ключ и
# перевод намеренно сохраняют ASCII-кавычки (так метка отрисована в игре).
#
# ЕДИНАЯ ТЕРМИНОЛОГИЯ (канон для всего проекта, унифицирует разнобой per-mod файлов):
#   Deploy -> Развернуть, Retract -> Свернуть, Extend -> Выдвинуть, Toggle X -> Переключить X.
#   (Ранее bare Deploy/Retract в BahaSP/ROLib/DMagic/MechJeb2 были Выдвинуть/Втянуть --
#   приведены к этому канону, чтобы одна и та же кнопка звучала одинаково во всех модах.)
# АББРЕВИАТУРЫ: код прибора без общепринятого русского эквивалента остаётся латиницей
#   (GRS, RPWS, LUV, ELIX); имеющие устоявшуюся русскую форму -- переводятся (RTG->РИТЭГ, RW->маховик).
#   Gravioli -- игровой термин KSP, транслитерируется (гравиоли).

"Power Off"	"Питание выкл."
Review Findings	Просмотреть результаты
Review Report	Просмотреть отчёт
Review Site Survey	Просмотреть обследование местности
Review Stored Data	Просмотреть сохранённые данные
Run Atmosphere Analysis	Провести анализ атмосферы
Run Magnetometer Science	Провести магнитометрию
Run Site Survey	Провести обследование местности
Run Solar Wind science	Провести измерения солнечного ветра
Scoop Surface Material	Взять образец грунта
Systems Check	Проверка систем
Take Atmospheric Data	Снять данные атмосферы
Take Data	Снять данные
Take Goo Data	Снять данные слизи
Take Gravity Data	Снять данные гравитации
Take Infrared Image	Сделать инфракрасный снимок
Take Materials Data	Снять данные материалов
Take Orbital Image	Сделать орбитальный снимок
Take Orbital Pictures	Сделать орбитальные снимки
Take Pressure Data	Снять данные давления
Take Seismic Data	Снять сейсмические данные
Take Telescope Image	Сделать снимок телескопом
Take Temperature Data	Снять данные температуры
Take Ultraviolet Image	Сделать ультрафиолетовый снимок
Test Camera Cover (end)	Тест крышки камеры (конец)
Test Camera Cover (start)	Тест крышки камеры (начало)
Test Camera Cover (toggle)	Тест крышки камеры (переключить)
Toggle Antenna	Переключить антенну
Toggle Bay Doors	Переключить створки отсека
Toggle Boom	Переключить штангу
Toggle Camera Assembly	Переключить блок камеры
Toggle Compartment	Переключить отсек
Toggle Dockingport	Переключить стыковочный узел
Toggle Doors	Переключить створки
Toggle Extension	Переключить выдвижение
Toggle Landing Legs	Переключить посадочные опоры
Toggle Lights	Переключить огни
Toggle Nose Droop	Переключить наклон носа
Toggle Platform	Переключить платформу
Toggle RTG Boom	Переключить штангу РИТЭГ
Toggle RW	Переключить маховик
Toggle Ramp	Переключить рампу
Toggle Reverse Thrust	Переключить реверс тяги
Toggle Sensor	Переключить датчик
Toggle Shutters	Переключить заслонки
Toggle Thrust Reverser	Переключить реверсор тяги
Undroop Nose	Поднять нос
