# RoutineMissionManager (мод «Routine Mission Manager») — словарь UI-строк,
# извлечённых напрямую из скомпилированного CommercialOfferings.dll (monodis --userstrings).
# UI зашит в код, а не в Localizer, поэтому переводится через ui-translator (точное совпадение строки).
# Папка GameData: RoutineMissionManager. Формат: Английский<TAB>Русский. Несовпадение = строка как есть.
# Ведущие/хвостовые пробелы и двоеточия сохранены точно. Многострочные строки с реальным \n
# (2 сообщения об ошибке установки) невозможно задать ключом в построчном файле — они опущены.
Docking Port	Стыковочный узел
After tracking is started no actions are required while the mission is underway. A 'Tracking' window will appear listing all nearby vessels being tracked by the routine mission manager. In the tracking window pressing the '>' button will open a window which will show detailed information of the mission. Pressing the 'abort' button will stop the tracking for the respective vessel. 	После начала отслеживания никаких действий во время миссии не требуется. Появится окно «Отслеживание» со списком всех ближайших судов, отслеживаемых менеджером рутинных миссий. В этом окне нажатие кнопки «>» откроет окно с подробной информацией о миссии. Нажатие кнопки «прервать» остановит отслеживание соответствующего судна. 
Tracking will also be ended automatically when crew is added after the start or the vessel docks with non mission vessels, except of course when the docking can be part of a mission arrival. 	Отслеживание также прекратится автоматически, если после старта добавлен экипаж или судно стыкуется с судами вне миссии, кроме случаев, когда стыковка может быть частью прибытия миссии. 
Tracking will persist over saves. 	Отслеживание сохраняется между сохранениями игры. 
Tracking an Arrival	Отслеживание прибытия
An arrival will be tracked when the vessel docks with another vessel. 	Прибытие отслеживается, когда судно стыкуется с другим судном. 
The other vessel needs to be in orbit around a celestial body for which the routine mission manager is enabled. 	Другое судно должно находиться на орбите вокруг небесного тела, для которого включён менеджер рутинных миссий. 
Tracking a Landing	Отслеживание посадки
A landing will be tracked automatically when the vessel lands on the home planet. 	Посадка отслеживается автоматически, когда судно приземляется на родную планету. 
The vessel is required to remain on the ground and come to a complete stop for some duration before a landing is tracked. 	Прежде чем посадка будет засчитана, судно должно оставаться на земле и полностью остановиться на некоторое время. 
Ordering a mission	Заказ миссии
To order a mission the mission first needs to be tracked. In addition the location which serves as the starting point or destination of the mission needs to be registered. Both are covered elsewhere in this manual. 	Чтобы заказать миссию, её сначала нужно отследить. Кроме того, нужно зарегистрировать локацию, служащую точкой старта или назначения миссии. Оба процесса описаны в других разделах этого руководства. 
To order a launch to or a departure from an orbiting vessel: 	Чтобы заказать запуск к судну на орбите или отбытие от него: 
-Switch to the vessel.	-Переключитесь на судно.
-Select the 'Order Launch' or 'Order Departure' option. 	-Выберите пункт «Заказать запуск» или «Заказать отбытие». 
A overview window will open listing the available missions from and to this location. For departure missions an identical departing vessel needs to be docked to the orbiting vessel, for it to be listed. 	Откроется обзорное окно со списком доступных миссий от и к этой локации. Чтобы миссия отбытия появилась в списке, к судну на орбите должно быть пристыковано идентичное отбывающее судно. 
-Press the '>' to open a detail window of the mission. 	-Нажмите «>», чтобы открыть окно с деталями миссии. 
-For launch mission the destination docking port will need to be set and for manned missions it will also possible to change the crew count and set a preferred crew for the mission. 	-Для миссии запуска нужно задать целевой стыковочный узел, а для пилотируемых миссий можно также изменить численность экипажа и задать предпочтительный экипаж миссии. 
-Review the mission details. 	-Проверьте детали миссии. 
-Press the 'Order' button. 	-Нажмите кнопку «Заказать». 
The mission will now be ordered.	Теперь миссия будет заказана.
All ordered missions can be seen when pressing the 'Ordered Missions' option in the main routine manager window. Here missions can also be cancelled. 	Все заказанные миссии можно увидеть, нажав пункт «Заказанные миссии» в главном окне менеджера. Здесь миссии также можно отменить. 
Locations	Локации
To set the docking port on wich an ordered mission should arrive the docking port should first be named and registered within the routine mission manager. 	Чтобы задать стыковочный узел, к которому должна прибыть заказанная миссия, узел сначала нужно назвать и зарегистрировать в менеджере рутинных миссий. 
To register a docking port: 	Чтобы зарегистрировать стыковочный узел: 
-Select the 'Register Docking Ports' option. 	-Выберите пункт «Зарегистрировать стыковочные узлы». 
Every docking port on the vessel will momentarily get a 'Register Docking Port' in the part menu. (This option can take a few seconds to become visible.)	У каждого стыковочного узла судна ненадолго появится пункт «Зарегистрировать стыковочный узел» в меню детали. (Этот пункт может появиться через несколько секунд.)
Select the 'Register Docking Port' in the part menu of the docking port you want to register. 	Выберите пункт «Зарегистрировать стыковочный узел» в меню детали того узла, который хотите зарегистрировать. 
A window will open.  the 'Register Docking Port' in the part menu of the docking port you want to register. 	Откроется окно.  «Зарегистрировать стыковочный узел» в меню детали того узла, который хотите зарегистрировать. 
Enter a name or code for the docking port and press the 'Register' button. 	Введите название или код стыковочного узла и нажмите кнопку «Зарегистрировать». 
The docking port will now be registered. 	Теперь стыковочный узел будет зарегистрирован. 
Routine Mission Manager    	Менеджер рутинных миссий    
Tracked Missions	Отслеживаемые миссии
Ordering	Заказ
Order Launch	Заказать запуск
Order Departure	Заказать отбытие
Ordered Missions	Заказанные миссии
Register Docking Ports	Зарегистрировать стыковочные узлы
Preferred:	Предпочтительно:
Roster:	Состав:
Set	Установить
Order	Заказать
Mission Name	Название миссии
Departure Mission	Миссия отбытия
Order:	Заказ:
Mission:	Миссия:
System:	Система:
Return Fee:	Плата за возврат:
Cargo Fee:	Плата за груз:
Duration:	Длительность:
ETD:	Отбытие:
Minimal crew required:	Минимально требуется экипажа:
Crew capacity:	Вместимость экипажа:
Crew:	Экипаж:
Current crew:	Текущий экипаж:
Resources:	Ресурсы:
Resource	Ресурс
Required	Требуется
Current	Текущее
Cargo mass:	Масса груза:
Current cargo mass:	Текущая масса груза:
Docking Port:	Стыковочный узел:
Order Return	Заказать возврат
Cancel Return	Отменить возврат
Departure Missions	Миссии отбытия
Launch Mission	Миссия запуска
Price:	Цена:
ETA:	Прибытие:
Maximum crew capacity:	Макс. вместимость экипажа:
Planned crew:	Планируемый экипаж:
set	установить
set preferred crew	установить предпочтительный экипаж
set docking port	установить стыковочный узел
Cancel Launch	Отменить запуск
Launch Missions	Миссии запуска
Mission Name:	Название миссии:
Vessel:	Аппарат:
Minimum Crew:	Минимальный экипаж:
Minimum Resources:	Минимальные ресурсы:
Amount	Количество
Trackings	Отслеживания
Type	Тип
Name	Имя
Valid	Корректно
Invalid	Некорректно
End Current Vessel Tracking	Прекратить отслеживание текущего судна
INFO	ИНФО
Type:	Тип:
Name:	Название:
LAUNCH	ЗАПУСК
Time:	Время:
Body:	Тело:
Value:	Значение:
Parts:	Детали:
DEPARTURE	ОТБЫТИЕ
no parts tracked	детали не отслеживаются
Propellant 	Топливо 
LANDING	ПОСАДКА
ARRIVAL	ПРИБЫТИЕ
Delete Tracking	Удалить отслеживание
n/a	н/д
Incorrect RoutineMissionManager Installation	Некорректная установка RoutineMissionManager
Our scientist have discovered docking ports are in fact very round in nature. This new-found knowledge explains why ships can dock in so many different ways to a docking port. In practice ships have been seen to dock straight, canted slightly to the left, a full quarter to the right and even almost upside down with a two degree counterclockwise offset.	Наши учёные открыли, что стыковочные узлы по своей природе на самом деле очень круглые. Это новое знание объясняет, почему корабли могут стыковаться к узлу столькими разными способами. На практике корабли стыковались прямо, с небольшим наклоном влево, на четверть оборота вправо и даже почти вверх ногами со смещением на два градуса против часовой стрелки.
Based on these observations some theoretical scientist have argued there could be infinite many ways to connect two docking ports.	На основе этих наблюдений некоторые учёные-теоретики заявили, что существует бесконечно много способов соединить два стыковочных узла.
But all this metaphysical nonsense aside, docking is already super hard on our Kerbonauts. They can't be expected to align two docking ports together and also control the relative rotation of the approach. That's like totally doing two things at the same time!	Но, если отбросить всю эту метафизическую чепуху, стыковка и так даётся нашим кербонавтам крайне тяжело. Нельзя же требовать, чтобы они одновременно и совмещали два стыковочных узла, и контролировали взаимный поворот при сближении. Это же прямо два дела разом!
So when you order a mission to be executed unsupervised through the Routine Mission Manager, you should make sure every possible rotation between the current target docking port and the mission vessel does not lead to a collision between parts of the station and the approaching vessel. If you can not make sure of this you should not order this mission in combination with this docking port.	Поэтому, заказывая миссию для автономного выполнения через Менеджер рутинных миссий, убедитесь, что при любом возможном повороте между текущим целевым стыковочным узлом и судном миссии не произойдёт столкновения деталей станции и приближающегося судна. Если вы не можете этого гарантировать, не заказывайте эту миссию с этим стыковочным узлом.
I understand and acknowledge	Понимаю и принимаю
New science breakthrough!	Новый научный прорыв!
Register Docking Port	Зарегистрировать стыковочный узел
Docking Port Code:	Код стыковочного узла:
Register	Зарегистрировать
Active Tracking	Активное отслеживание
soon(TM)	скоро™
come back later	зайдите позже
maybe later	может, позже
no launch tracked	запуск не отслеживается
no potential landings data	нет данных о возможных посадках
no arrival tracked	прибытие не отслеживается
not all crew returned	не весь экипаж вернулся
invalid arrival mission	недействительная миссия прибытия
location not allowed	локация не разрешена
not enough crew	недостаточно экипажа
too many crew	слишком много экипажа
no docking port selected	стыковочный узел не выбран
vessel not in orbit	судно не на орбите
vessel not at 	судно не у 
vessel orbit too high	орбита судна слишком высока
no window is open	нет открытых окон
no mission selected	миссия не выбрана
order not allowed	заказ не разрешён
insufficient funds	недостаточно средств
Planned Crew	Планируемый экипаж
no departure tracked	отбытие не отслеживается
no landing tracked	посадка не отслеживается
invalid mission departure mission	недействительная миссия отбытия
vessel not allowed	судно не разрешено
no docked vessel on docking port	на стыковочном узле нет пристыкованного судна
insufficient 	недостаточно 
too much cargomass	слишком большая масса груза
no docked structure detected on docking port	на стыковочном узле не обнаружена пристыкованная конструкция
docked structure unequal to tracked structure	пристыкованная конструкция не совпадает с отслеживаемой
no tracking module on vessel	на судне нет модуля отслеживания
no other asset in vicinity	поблизости нет других объектов
not enough crew was available for mission	для миссии не хватило экипажа
not rated for this orbit	не сертифицировано для этой орбиты
vessel in unknown configuration for return	судно в неизвестной конфигурации для возврата
not enough crew for return	недостаточно экипажа для возврата
not rated for safe crew return	не сертифицировано для безопасного возврата экипажа
not enough resources for return	недостаточно ресурсов для возврата
Current:	Текущее:
Underway	В процессе
Cancel	Отмена
Repeat	Повтор
Repeat Delay:	Задержка повтора:
days	дн.
Docking Stage 2	Стадия стыковки 2
Docking Stage 3	Стадия стыковки 3
Save vessel	Сохранить судно
Close	Закрыть
Docking Port 	Стыковочный узел 
Company:	Компания:
Vehicle:	Носитель:
Launch System:	Система запуска:
Arrival in:	Прибытие через:
Unmanned	Без экипажа
No return mission	Нет миссии возврата
No safe return mission	Нет безопасной миссии возврата
Required return resources: 	Требуемые ресурсы для возврата: 
Return cargo mass: 	Масса возвращаемого груза: 
Delete	Удалить
Procure	Приобрести
Confirm	Подтвердить
already a mission underway	миссия уже выполняется
Crew	Экипаж
Docking Port Code	Код стыковочного узла
Launch	Запуск
Departure	Отбытие
landing confirmation 	подтверждение посадки 
vessel has joined with non mission vessel	судно состыковалось с судном вне миссии
crew has been added to vessel	на судно добавлен экипаж
mission tracking-LAUNCH	отслеживание миссии — ЗАПУСК
mission tracking-DEPARTURE	отслеживание миссии — ОТБЫТИЕ
mission tracking-ARRIVAL	отслеживание миссии — ПРИБЫТИЕ
mission tracking-LANDING	отслеживание миссии — ПОСАДКА
mission tracking-REENTRY	отслеживание миссии — ВХОД В АТМОСФЕРУ
mission tracking-RETURN	отслеживание миссии — ВОЗВРАТ
mission tracking ended	отслеживание миссии завершено
stop tracking	прекратить отслеживание
Start Mission	Начать миссию
Start Return Mission	Начать миссию возврата
Mission Part	Часть миссии
Mission Tracking	Отслеживание миссии
